Imdb_id,Genre,Title,Description,Director,Release_date,Release_Year,Revenue,Runtime,Ratings,Votes
tt4698684,"Adventure,Comedy,Drama",Hunt for the Wilderpeople,"Ricky is a defiant young city kid who finds himself on the run with his cantankerous foster uncle in the wild New Zealand bush. A national manhunt ensues, and the two are forced to put aside their differences and work together to survive.",Taika Waititi,2016-03-31,2016,2600000.0,101.0,7.85,26392.0
tt1974419,"Horror,Thriller",The Neon Demon,"When aspiring model Jesse moves to Los Angeles, her youth and vitality are devoured by a group of beauty-obsessed women who will take any means necessary to get what she has.",Nicolas Winding Refn,2016-06-08,2016,1331562.0,117.5,6.300000000000001,25642.5
tt2057392,"Drama,Thriller,War",Eye in the Sky,A military officer in command of a drone operation to capture terrorists in Kenya sees her mission escalate from “capture” to “kill” just as a nine-year old girl enters the kill zone.,Gavin Hood,2015-09-11,2015,1.87022975E7,102.0,7.25,29179.0
tt3766394,"Comedy,Drama,Romance","Hello, My Name Is Doris",A self-help seminar inspires a sixty-something woman to romantically pursue her younger co-worker.,Michael Showalter,2015-11-27,2015,1.44424995E7,95.0,6.6,6258.5
tt4257926,"Biography,Drama,Family",Miracles from Heaven,A faith based movie. A young girl suffering from a rare digestive disorder finds herself miraculously cured after surviving a terrible accident. Based on the book 'Three Miracles From Heaven' by Christy Beam.,Patricia Riggen,2016-03-17,2016,6.77866795E7,113.0,6.9,6119.5
tt3922816,Drama,The Daughter,"In the last days of a dying logging town, Christian returns to his family home for his father Henry’s wedding. While home, Christian reconnects with his childhood friend Oliver, who has stayed in town working at Henry’s timber mill and is now out of a job. As Christian gets to know Oliver’s wife Charlotte, daughter Hedvig, and father Walter, he discovers a secret that could tear Oliver’s family apart.",Simon Stone,2015-10-09,2015,15000.0,96.0,6.550000000000001,1411.5
tt4136084,"Biography,Comedy,Drama",Florence Foster Jenkins,"The story of Florence Foster Jenkins, a New York heiress, who dreamed of becoming an opera singer, despite having a terrible singing voice.",Stephen Frears,2016-05-06,2016,3.81364765E7,110.5,6.800000000000001,16092.5
tt4227282,"Action,Horror,Thriller",Wrecker,"Best friends Emily and Lesley go on a road trip to the desert. When Emily decides to get off the highway and take a short cut, they become the target of a relentless and psychotic trucker who forces them to play a deadly game of cat and mouse.",Micheal Bafaro,2015-11-06,2015,0,83.0,3.7,617.0
tt3760922,"Comedy,Family,Romance",My Big Fat Greek Wedding 2,"The continuing adventures of the Portokalos family. A follow-up to the 2002 comedy, My Big Fat Greek Wedding.",Kirk Jones,2016-03-23,2016,7.42466255E7,94.0,5.8,10647.0
tt4139124,"Action,Comedy",Keanu,Friends hatch a plot to retrieve a stolen cat by posing as drug dealers for a street gang.,Peter Atencio,2016-04-21,2016,2.05681635E7,97.0,6.15,16173.5
tt4129870,Drama,White Girl,"Summer, New York City. A college girl falls hard for a guy she just met. After a night of partying goes wrong, she goes to wild extremes to get him back.",Elizabeth Wood,2016-09-02,2016,200121.0,88.0,5.65,2204.0
tt3838992,"Comedy,Fantasy,Horror",Yoga Hosers,Two teenage yoga enthusiasts team up with a legendary man-hunter to battle with an ancient evil presence that is threatening their major party plans.,Kevin Smith,2016-07-08,2016,0,88.0,4.5,3599.0
tt3708886,"Action,Comedy",War on Everyone,"Two corrupt cops in New Mexico set out to blackmail and frame every criminal unfortunate enough to cross their path. Things take a sinister turn, however, when they try to intimidate someone who is more dangerous than they are. Or is he?",John Michael McDonagh,2016-10-07,2016,0,98.0,5.85,4695.0
tt3068194,"Comedy,Drama,Romance",Love & Friendship,"From Jane Austen’s novella, the beautiful and cunning Lady Susan Vernon visits the estate of her in-laws to wait out colorful rumors of her dalliances and to find husbands for herself and her daughter. Two young men, handsome Reginald DeCourcy and wealthy Sir James Martin, severely complicate her plans.",Whit Stillman,2016-05-27,2016,1.4013284E7,92.0,6.45,8167.5
tt2937696,Comedy,Everybody Wants Some!!,A comedy that follows a group of friends as they navigate their way through the freedoms and responsibilities of unsupervised adulthood.,Richard Linklater,2016-03-30,2016,3385139.0,116.5,6.65,18365.5
tt3544112,"Comedy,Drama,Music",Sing Street,A boy growing up in Dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes.,John Carney,2016-03-11,2016,8427261.0,106.0,8.0,26406.5
tt5247022,"Comedy,Drama,Romance",Paterson,"Set in the present in Paterson, New Jersey, this is a tale about a bus driver and poet.",Jim Jarmusch,2016-11-17,2016,2146369.0,118.0,7.25,13200.0
tt2381991,"Action,Adventure,Drama",The Huntsman: Winter's War,"As two evil sisters prepare to conquer the land, two renegades—Eric the Huntsman, who aided Snow White in defeating Ravenna in Snowwhite and the Huntsman, and his forbidden lover, Sara—set out to stop them.",Cedric Nicolas-Troyan,2016-04-06,2016,1.062760815E8,114.0,6.05,34170.5
tt4438848,Comedy,Neighbors 2: Sorority Rising,A sorority moves in next door to the home of Mac and Kelly Radner who have a young child. The Radner's enlist their former nemeses from the fraternity to help battle the raucous sisters.,Nicholas Stoller,2016-05-04,2016,8.20242605E7,91.5,5.65,38908.5
tt5022702,"Horror,Thriller",Hush,A deaf woman is stalked by a psychotic killer in her secluded home.,Mike Flanagan,2016-03-12,2016,0,81.0,6.75,23350.5
tt3833746,"Comedy,Horror,Thriller",The Visit,"“This film documents an event that has never taken place…” With unprecedented access to the United Nations’ Office for Outer Space Affairs, leading space scientists and space agencies, The Visit explores humans’ first encounter with alien intelligent life and thereby humanity itself. “Our scenario begins with the arrival. Your arrival.”",M. Night Shyamalan,2015-01-26,2015,3.2534999999999996E7,88.5,5.95,40717.5
tt4120176,Drama,L'avenir,"Nathalie teaches philosophy at a high school in Paris. She is passionate about her job and particularly enjoys passing on the pleasure of thinking. Married with two children, she divides her time between her family, former students and her very possessive mother. One day, Nathalie’s husband announces he is leaving her for another woman. With freedom thrust upon her, Nathalie must reinvent her life.",Mia Hansen-Løve,2016-03-16,2016,281191.0,102.0,6.8,2933.0
tt3212910,Comedy,Folk Hero & Funny Guy,"Two artistically inclined childhood friends, a comedian and a folk-rocker respectively, set out on a tour together in hopes of regaining their mojo and finding love in the process.",Jeff Grace,2016-04-16,2016,0,88.0,5.55,111.0
tt2241351,"Crime,Drama,Thriller",Money Monster,Financial TV host Lee Gates and his producer Patty are put in an extreme situation when an irate investor takes over their studio.,Jodie Foster,2016-05-12,2016,6.7146302E7,98.0,6.5,34875.0
tt4383594,"Comedy,Family,Fantasy",Nine Lives,A stuffy businessman finds himself trapped inside the body of his family's cat.,Barry Sonnenfeld,2016-08-03,2016,3.87272225E7,87.0,5.4,6362.0
